Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Differential pressure across DPF bar,Engine speed rpm,Current engine torque Nm,Current speed of the turbocharger rpm,Regeneration requested,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Control deviation of the EGR rate,Duty cycle - EGR cooler bypass %,EGR valve - target position %,EGR valve - output duty cycle %,Tank level - fuel l,Fuel temperature ° C,Amount of fuel consumed ul,Fuel feed pressure - filtered bar,Calculated load value (OBD PID 04) %,Ratio of current torque to maximum torque %,Wheel torque ratio %,Setpoint internal torque Nm,Requested wheel torque after filtering Nm,Engine oil temperature in the oil sump ° C,Gear,Current recalculated internal engine torque Nm,Actual value of oil pressure bar,Exhaust gas temperature upstream of the catalyst ° C,Base boost pressure setpoint bar,Transmission oil temperature ° C,Exhaust gas temperature upstream of the catalyst - corrected value ° C,Temperature in front of the SCR catalytic converter ° C,Vehicle speed km/h
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,0.00,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,0.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,0.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,0.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.0000,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,16.94,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,25917.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9137.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.00,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,27.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,12.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,31.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,31.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,42.24,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.32,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
0.7620,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,829.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,830.00,15.57,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,830.00,15.11,26120.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,830.00,15.11,25990.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,830.00,15.11,25990.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,830.00,15.11,25990.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,830.00,15.11,25990.00,0.00,0.00,34.90,9138.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
1.5260,43.00,69.00,27.00,0.00,10.82,0.01,830.00,15.11,25990.00,0.00,0.00,34.90,9139.00,0.59,0.00,28.00,13.00,47.99,21.00,228.12,3.95,30.00,30.00,12.00,0.01,-0.01,27.00,0.00,41.32,1.33,82.00,1.01,-40.00,82.00,58.00,0.00
